,index,x,y,diameter,country,un_region,size,type,id,country_source,country_target,path
201,,1281.6901504492523,2184.9353190335623,,,Americas,,edge,3,Mexico,UK,31
202,,1273.4542176564294,2199.297013444176,,,Americas,,edge,3,Mexico,UK,32
203,,1265.309276243881,2213.1910572628612,,,Americas,,edge,3,Mexico,UK,33
204,,1257.2853237084853,2226.6048649380955,,,Americas,,edge,3,Mexico,UK,34
205,,1249.414827155352,2239.5209079550186,,,Americas,,edge,3,Mexico,UK,35
206,,1241.7327232978207,2251.9167148354295,,,Americas,,edge,3,Mexico,UK,36
207,,1234.2764184574628,2263.764871137789,,,Americas,,edge,3,Mexico,UK,37
208,,1227.0857885640805,2275.03301945722,,,Americas,,edge,3,Mexico,UK,38
209,,1220.2031791557074,2285.683859425503,,,Americas,,edge,3,Mexico,UK,39
210,,1213.6734053786072,2295.675147711083,,,Americas,,edge,3,Mexico,UK,40
211,,1207.543751987276,2304.9596980190645,,,Americas,,edge,3,Mexico,UK,41
212,,1201.86397334444,2313.485381091212,,,Americas,,edge,3,Mexico,UK,42
213,,1196.6862934210567,2321.1951247059524,,,Americas,,edge,3,Mexico,UK,43
214,,1192.0654057963147,2328.026913678373,,,Americas,,edge,3,Mexico,UK,44
215,,1188.0584736576338,2333.913789860222,,,Americas,,edge,3,Mexico,UK,45
216,,1184.7251298006645,2338.783852139909,,,Americas,,edge,3,Mexico,UK,46
217,,1182.1274766292886,2342.560256442503,,,Americas,,edge,3,Mexico,UK,47
218,,1180.3300861556195,2345.161215729736,,,Americas,,edge,3,Mexico,UK,48
219,,1179.4,2346.5,,,Americas,,edge,3,Mexico,UK,49
220,,1831.8,888.95,,,Americas,,edge,4,Mexico,USA,0
221,,1838.7119248348727,884.2413138059752,,,Americas,,edge,4,Mexico,USA,1
222,,1845.5066623461935,879.6211343687318,,,Americas,,edge,4,Mexico,USA,2
223,,1852.1867966301008,875.0879453687995,,,Americas,,edge,4,Mexico,USA,3
224,,1858.75471694513,870.6403279887719,,,Americas,,edge,4,Mexico,USA,4
225,,1865.212617712216,866.2769609133082,,,Americas,,edge,4,Mexico,USA,5
226,,1871.5624985146928,861.9966203291319,,,Americas,,edge,4,Mexico,USA,6
227,,1877.8061640982928,857.7981799250315,,,Americas,,edge,4,Mexico,USA,7
228,,1883.945224371145,853.6806108918591,,,Americas,,edge,4,Mexico,USA,8
229,,1889.981094403779,849.6429819225331,,,Americas,,edge,4,Mexico,USA,9
230,,1895.9149944291223,845.6844592120351,,,Americas,,edge,4,Mexico,USA,10
231,,1901.7479498425007,841.8043064574126,,,Americas,,edge,4,Mexico,USA,11
232,,1907.4807912016388,838.0018848577772,,,Americas,,edge,4,Mexico,USA,12
233,,1913.1141542266591,834.2766531143051,,,Americas,,edge,4,Mexico,USA,13
234,,1918.6484798000834,830.6281674302375,,,Americas,,edge,4,Mexico,USA,14
235,,1924.0840139668314,827.0560815108798,,,Americas,,edge,4,Mexico,USA,15
236,,1929.4208079342204,823.5601465636023,,,Americas,,edge,4,Mexico,USA,16
237,,1934.658718071968,820.1402112978403,,,Americas,,edge,4,Mexico,USA,17
238,,1939.7974059121902,816.7962219250934,,,Americas,,edge,4,Mexico,USA,18
239,,1944.8363381494,813.5282221589263,,,Americas,,edge,4,Mexico,USA,19
240,,1949.7747866405098,810.3363532149677,,,Americas,,edge,4,Mexico,USA,20
241,,1954.6118284048307,807.220853810912,,,Americas,,edge,4,Mexico,USA,21
242,,1959.3463456240725,804.1820601665175,,,Americas,,edge,4,Mexico,USA,22
243,,1963.9770256423421,801.2204060036072,,,Americas,,edge,4,Mexico,USA,23
244,,1968.5023609661462,798.3364225460689,,,Americas,,edge,4,Mexico,USA,24
245,,1972.9206492643893,795.5307385198553,,,Americas,,edge,4,Mexico,USA,25
246,,1977.2299933683748,792.8040801529836,,,Americas,,edge,4,Mexico,USA,26
247,,1981.4283012718045,790.1572711755358,,,Americas,,edge,4,Mexico,USA,27
248,,1985.5132861307789,787.5912328196586,,,Americas,,edge,4,Mexico,USA,28
249,,1989.4824662637964,785.106983819563,,,Americas,,edge,4,Mexico,USA,29
250,,1993.3331651517547,782.7056404115251,,,Americas,,edge,4,Mexico,USA,30
251,,1997.062511437949,780.3884163338856,,,Americas,,edge,4,Mexico,USA,31
252,,2000.6674389280743,778.1566228270499,,,Americas,,edge,4,Mexico,USA,32
253,,2004.1446865902226,776.011668633488,,,Americas,,edge,4,Mexico,USA,33
254,,2007.490798554885,773.9550599977346,,,Americas,,edge,4,Mexico,USA,34
255,,2010.702124114952,771.9884006663891,,,Americas,,edge,4,Mexico,USA,35
256,,2013.7748177257113,770.1133918881154,,,Americas,,edge,4,Mexico,USA,36
257,,2016.70483900485,768.3318324136428,,,Americas,,edge,4,Mexico,USA,37
258,,2019.4879527324533,766.6456184957642,,,Americas,,edge,4,Mexico,USA,38
259,,2022.1197288510045,765.0567438893381,,,Americas,,edge,4,Mexico,USA,39
260,,2024.5955424653862,763.5672998512872,,,Americas,,edge,4,Mexico,USA,40
261,,2026.9105738428784,762.1794751405989,,,Americas,,edge,4,Mexico,USA,41
262,,2029.0598084131611,760.8955560183258,,,Americas,,edge,4,Mexico,USA,42
263,,2031.0380367683115,759.7179262475843,,,Americas,,edge,4,Mexico,USA,43
264,,2032.8398546628061,758.6490670935563,,,Americas,,edge,4,Mexico,USA,44
265,,2034.4596630135197,757.6915573234878,,,Americas,,edge,4,Mexico,USA,45
266,,2035.8916678997243,756.8480732066901,,,Americas,,edge,4,Mexico,USA,46
267,,2037.1298805630931,756.1213885145384,,,Americas,,edge,4,Mexico,USA,47
268,,2038.1681174076955,755.5143745204734,,,Americas,,edge,4,Mexico,USA,48
269,,2039.0,755.03,,,Americas,,edge,4,Mexico,USA,49
270,,1669.0,2117.8,,,Americas,,edge,5,Chile,UK,0
271,,1651.4913821830098,2135.4484572667816,,,Americas,,edge,5,Chile,UK,1
272,,1634.7797580870524,2152.2058613645117,,,Americas,,edge,5,Chile,UK,2
273,,1618.808688712759,2168.1079776908173,,,Americas,,edge,5,Chile,UK,3
274,,1603.5241468005574,2183.189704449469,,,Americas,,edge,5,Chile,UK,4
275,,1588.8745168306764,2197.4850726503832,,,Americas,,edge,5,Chile,UK,5
276,,1574.8105950231413,2211.027246109623,,,Americas,,edge,5,Chile,UK,6
277,,1561.2855893377762,2223.8485214493967,,,Americas,,edge,5,Chile,UK,7
278,,1548.2551194742023,2235.980328098056,,,Americas,,edge,5,Chile,UK,8
279,,1535.67721687184,2247.4532282901005,,,Americas,,edge,5,Chile,UK,9
280,,1523.5123247099075,2258.296917066175,,,Americas,,edge,5,Chile,UK,10
281,,1511.7232979074213,2268.540222273067,,,Americas,,edge,5,Chile,UK,11
282,,1500.275403123195,2278.211104563713,,,Americas,,edge,5,Chile,UK,12
283,,1489.1363187558425,2287.3366573971934,,,Americas,,edge,5,Chile,UK,13
284,,1478.2761349437735,2295.9431070387336,,,Americas,,edge,5,Chile,UK,14
285,,1467.6673535651971,2304.055812559706,,,Americas,,edge,5,Chile,UK,15
286,,1457.28488823812,2311.6992658376244,,,Americas,,edge,5,Chile,UK,16
287,,1447.1060643203473,2318.897091556153,,,Americas,,edge,5,Chile,UK,17
288,,1437.110618909482,2325.672047205099,,,Americas,,edge,5,Chile,UK,18
289,,1427.2807008429256,2332.046023080415,,,Americas,,edge,5,Chile,UK,19
290,,1417.6008706978782,2338.0400422842,,,Americas,,edge,5,Chile,UK,20
291,,1408.058100791337,2343.674260724698,,,Americas,,edge,5,Chile,UK,21
292,,1398.6417751800973,2348.967967116298,,,Americas,,edge,5,Chile,UK,22
293,,1389.3436896607532,2353.939582979534,,,Americas,,edge,5,Chile,UK,23
294,,1380.1580517696968,2358.6066626410866,,,Americas,,edge,5,Chile,UK,24
295,,1371.0814807831182,2362.985893233782,,,Americas,,edge,5,Chile,UK,25
296,,1362.1130077170053,2367.09309469659,,,Americas,,edge,5,Chile,UK,26
297,,1353.254075327145,2370.9432197746282,,,Americas,,edge,5,Chile,UK,27
298,,1344.5085381091214,2374.550354019159,,,Americas,,edge,5,Chile,UK,28
299,,1335.882662298317,2377.9277157875877,,,Americas,,edge,5,Chile,UK,29
300,,1327.3851258699133,2381.0876562434682,,,Americas,,edge,5,Chile,UK,30
301,,1319.0270185388881,2384.0416593564983,,,Americas,,edge,5,Chile,UK,31
302,,1310.8218417600192,2386.8003419025217,,,Americas,,edge,5,Chile,UK,32
303,,1302.7855087278815,2389.373453463528,,,Americas,,edge,5,Chile,UK,33
304,,1294.9363443768484,2391.769876427651,,,Americas,,edge,5,Chile,UK,34
305,,1287.2950853810912,2393.997625989171,,,Americas,,edge,5,Chile,UK,35
306,,1279.8848801545796,2396.063850148513,,,Americas,,edge,5,Chile,UK,36
307,,1272.731288851081,2397.9748297122487,,,Americas,,edge,5,Chile,UK,37
308,,1265.8622833641612,2399.7359782930926,,,Americas,,edge,5,Chile,UK,38
309,,1259.3082473271845,2401.351842309908,,,Americas,,edge,5,Chile,UK,39
310,,1253.1019761133125,2402.8261009877015,,,Americas,,edge,5,Chile,UK,40
311,,1247.2786768355056,2404.161566357625,,,Americas,,edge,5,Chile,UK,41
312,,1241.8759683465223,2405.3601832569766,,,Americas,,edge,5,Chile,UK,42
313,,1236.9338812389187,2406.4230293292,,,Americas,,edge,5,Chile,UK,43
314,,1232.4948578450496,2407.350315023884,,,Americas,,edge,5,Chile,UK,44
315,,1228.6037522370677,2408.141383596763,,,Americas,,edge,5,Chile,UK,45
316,,1225.3078302269237,2408.7947111097155,,,Americas,,edge,5,Chile,UK,46
317,,1222.6567693663667,2409.3079064307685,,,Americas,,edge,5,Chile,UK,47
318,,1220.7026589469438,2409.677711234091,,,Americas,,edge,5,Chile,UK,48
319,,1219.5,2409.9,,,Americas,,edge,5,Chile,UK,49
320,,1840.9,2020.0,,,Americas,,edge,6,Chile,China,0
321,,1855.9259105214558,2016.201507857773,,,Americas,,edge,6,Chile,China,1
322,,1870.2377075114991,2012.5139284426293,,,Americas,,edge,6,Chile,China,2
323,,1883.8732569086083,2008.9163514750992,,,Americas,,edge,6,Chile,China,3
324,,1896.8691082484897,2005.389090239195,,,Americas,,edge,6,Chile,China,4
325,,1909.260494664083,2001.913681582417,,,Americas,,edge,6,Chile,China,5
326,,1921.0813328855584,1998.4728859157497,,,Americas,,edge,6,Chile,China,6
327,,1932.364223240317,1995.0506872136614,,,Americas,,edge,6,Chile,China,7
328,,1943.140449652989,1991.632293014104,,,Americas,,edge,6,Chile,China,8
