,id,iso_code,country,size,un_region,x,y,type,country_source,country_target,path
305,5,,,,Americas,349.5583673469388,886.4268971261974,edge,USA,Canada,35
306,5,,,,Americas,351.98403062135185,886.7790053620238,edge,USA,Canada,36
307,5,,,,Americas,354.3522159741507,887.1043261926995,edge,USA,Canada,37
308,5,,,,Americas,356.65510989711527,887.4042409460449,edge,USA,Canada,38
309,5,,,,Americas,358.88437635921866,887.680009509435,edge,USA,Canada,39
310,5,,,,Americas,361.031156806627,887.9327703297998,edge,USA,Canada,40
311,5,,,,Americas,363.08607016269946,888.163540413624,edge,USA,Canada,41
312,5,,,,Americas,365.0392128279884,888.373215326947,edge,USA,Canada,42
313,5,,,,Americas,366.880158680239,888.5625691953634,edge,USA,Canada,43
314,5,,,,Americas,368.59795907438956,888.7322547040219,edge,USA,Canada,44
315,5,,,,Americas,370.1811428425717,888.8828030976265,edge,USA,Canada,45
316,5,,,,Americas,371.61771629410975,889.0146241804357,edge,USA,Canada,46
317,5,,,,Americas,372.8951632155213,889.128006316263,edge,USA,Canada,47
318,5,,,,Americas,374.0004448705168,889.2231164284768,edge,USA,Canada,48
319,5,,,,Americas,374.92,889.3,edge,USA,Canada,49
320,6,,,,Americas,170.42,557.02,edge,Chile,China,0
321,6,,,,Americas,165.8674053227509,558.1970324543727,edge,Chile,China,1
322,6,,,,Americas,161.5092386425828,559.3175265373426,edge,Chile,China,2
323,6,,,,Americas,157.33596397863516,560.3827219031498,edge,Chile,China,3
324,6,,,,Americas,153.33834090370163,561.3938604957916,edge,Chile,China,4
325,6,,,,Americas,149.50742454422968,562.3521865490238,edge,Chile,China,5
326,6,,,,Americas,145.83456558032097,563.2589465863608,edge,Chile,China,6
327,6,,,,Americas,142.311410245731,564.1153894210747,edge,Chile,China,7
328,6,,,,Americas,138.9299003278691,564.9227661561952,edge,Chile,China,8
329,6,,,,Americas,135.68227316779883,565.6823301845111,edge,Chile,China,9
330,6,,,,Americas,132.5610616602377,566.395337188569,edge,Chile,China,10
331,6,,,,Americas,129.55909425355702,567.0630451406735,edge,Chile,China,11
332,6,,,,Americas,126.66949494978229,567.6867143028873,edge,Chile,China,12
333,6,,,,Americas,123.88568330459282,568.2676072270316,edge,Chile,China,13
334,6,,,,Americas,121.20137442732195,568.8069887546854,edge,Chile,China,14
335,6,,,,Americas,118.61057898095706,569.3061260171862,edge,Chile,China,15
336,6,,,,Americas,116.10760318213937,569.7662884356287,edge,Chile,China,16
337,6,,,,Americas,113.6870488011642,570.1887477208668,edge,Chile,China,17
338,6,,,,Americas,111.34381316198079,570.574777873512,edge,Chile,China,18
339,6,,,,Americas,109.07308914219242,570.9256551839344,edge,Chile,China,19
340,6,,,,Americas,106.87036517305627,571.2426582322614,edge,Chile,China,20
